State,State_UT_Code,Financial Year,Opening Balance,Funds Received from Government of India ,Funds Received as States' Share ,Other Receipts ,Total Funds Available ,Total Expenditure ,Net Unspent Balance Available,Extent of Funds Utilised against Total Funds Available
Chhattisgarh,5,2018-19,604.84,693.67,385.88,56.36,1740.75,1512.94,333.66,86.913
Goa,6,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2018-19,130.45,0.17,0.2,7.71,138.53,33.7,102.25,24.327
Haryana,8,2018-19,155.13,81.42,0,-72.43,164.12,2.32,152.38,1.414
Himachal Pradesh,9,2018-19,70.6,677.61,65.25,30.29,843.75,691.22,171.21,81.922
Jharkhand,10,2018-19,1036.58,1300,400,531.53,3268.11,1215.59,2102.6,37.196
Karnataka,11,2018-19,120.72,1.84,9.45,6.55,138.56,25.66,112.67,18.519
Kerala,12,2018-19,201.4,53.14,0.16,22.4,277.1,227.69,53.37,82.169
Madhya Pradesh,13,2018-19,2135.8,1005.76,538.28,199.17,3879.01,2560.07,1402.92,65.998
Maharashtra,14,2018-19,1027.79,1.58,-26.5,127.8,1130.67,205,915.63,18.131
Manipur,15,2018-19,233.32,309.92,4.84,14.68,562.76,288.84,273.38,51.326
Meghalaya,16,2018-19,69.29,203.46,41.34,6.47,320.56,159.27,163.52,49.685
Mizoram,17,2018-19,206.78,54.09,6.01,11.56,278.44,139.33,122.11,50.04
Nagaland,18,2018-19,1.66,74.65,8.15,0.81,85.27,71.66,16.24,84.039
Odisha,19,2018-19,1757.97,3078.82,2006.68,74.59,6918.06,3306.74,3765.1,47.799
Punjab,20,2018-19,13.04,238.14,32.73,0.86,284.77,227.67,51.42,79.949
Rajasthan,21,2018-19,299.75,717.02,0,12.08,1028.85,861.65,198.89,83.749
Sikkim,22,2018-19,38.86,303.04,17.22,26.16,385.28,226.13,179.36,58.692
Tamil Nadu,23,2018-19,576.81,590.1,1194.03,-494.13,1866.81,892.63,1018.55,47.816
Telangana,24,2018-19,116.9,179.5,103.82,5.07,405.29,322.57,64.7,79.59
Tripura,25,2018-19,364.08,73.33,22.06,-17.22,442.25,129.75,304.28,29.339
Uttar Pradesh,26,2018-19,1040.59,-189.13,806.26,103.29,1761.01,967.54,791.23,54.942
Uttarakhand,27,2018-19,275.49,1034.81,77.66,58.96,1446.92,704.31,764.87,48.676
West Bengal,28,2018-19,1839.24,1387.17,946.33,80.54,4253.28,2062.16,2216.39,48.484
A & N Islands,29,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,30,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Daman & Diu,32,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Delhi,33,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2018-19,439.49,1278.73,202.5,-119.69,1801.03,1086.51,720.77,60.327
Ladakh,35,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,37,2018-19,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,1,2019-20,298.42,185.06,76.6,22.21,582.29,341.38,263.57,58.627
Arunachal Pradesh,2,2019-20,422.21,784.41,85.27,13.19,1305.08,1277.84,112.84,97.913
Assam,3,2019-20,836.46,3097.04,350.78,294.07,4578.35,3632.4,1134.31,79.339
Bihar,4,2019-20,5646.29,91.58,156.84,332.75,6227.46,1560.03,4494.5,25.051
Chhattisgarh,5,2019-20,323.44,1274.33,850.16,13.18,2461.11,1159.7,1289.95,47.121
Goa,6,2019-20,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,7,2019-20,101.28,37.49,0.89,-31.37,108.29,29.88,76.32,27.593
Haryana,8,2019-20,152.31,0.36,0.24,10.57,163.48,0.49,155.74,0.3
Himachal Pradesh,9,2019-20,172.12,1032.55,125.12,28.22,1358.01,725.28,660.9,53.408
Jharkhand,10,2019-20,2106.8,460.22,165,74.92,2806.94,1314.91,1588.75,46.845
Karnataka,11,2019-20,113.63,0,4.36,6.27,124.26,11.76,109.57,9.464
Kerala,12,2019-20,48.65,89.72,93.16,1.6,233.13,125.68,107.43,53.91
Madhya Pradesh,13,2019-20,1402.26,1046.53,726.53,-32.01,3143.31,1825.72,1325.15,58.083
