State_UT,State_UT_Code,Financial Year,Opening Balance,Funds Released,Interest Earned and Other Receipts,Total Available Funds,Total Expenditure,Unspent Balance
Uttarakhand,27,2017-18,48.26,132.031,4.946,185.236,42.656,142.58
West Bengal,28,2017-18,366.446,492.766,30.278,889.49,502.153,387.337
A & N Islands,29,2017-18,1.684,30.5,0.156,32.34,14.964,17.376
Chandigarh,30,2017-18,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2017-18,0,17.5,0,17.5,16.59,0.91
Daman & Diu,32,2017-18,0,2,0.01,2.01,1.645,0.365
Delhi,33,2017-18,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2017-18,-70.035,197.822,0.384,128.171,195.652,-67.481
Ladakh,35,2017-18,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2017-18,NA,NA,NA,NA,NA,NA
Puducherry,37,2017-18,0.017,50,0.15,50.167,12.154,38.014
Andhra Pradesh,1,2018-19,80.71,1381.111,3.058,1464.879,474.116,990.763
Arunachal Pradesh,2,2018-19,45.989,51.31,0,97.299,87.605,9.694
Assam,3,2018-19,536.314,882.09,57.753,1476.157,967.928,508.229
Bihar,4,2018-19,492.012,2943.694,41.43,3477.136,2381.604,1095.532
Chhattisgarh,5,2018-19,194.358,448.5,3.401,646.259,327.27,318.989
Goa,6,2018-19,-0.489,0,0,-0.489,0,-0.489
Gujarat,7,2018-19,271.439,192.92,14.046,478.405,175.3,303.104
Haryana,8,2018-19,42.571,70.239,1,113.809,15.124,98.685
Himachal Pradesh,9,2018-19,2.165,0,10.467,12.632,27.809,-15.176
Jharkhand,10,2018-19,273.719,753.02,0,1026.739,678.178,348.561
Karnataka,11,2018-19,297.26,739.733,145.64,1182.633,615.028,567.605
Kerala,12,2018-19,8.985,12.47,1.4,22.855,18.929,3.926
Madhya Pradesh,13,2018-19,376.862,590.935,0,967.797,562.767,405.03
Maharashtra,14,2018-19,152.344,1352.922,34.704,1539.97,733.73,806.241
Manipur,15,2018-19,44.335,75.06,0.178,119.573,111.822,7.751
Meghalaya,16,2018-19,134.523,0,0,134.523,72.187,62.336
Mizoram,17,2018-19,32.64,12.73,0.552,45.922,24.874,21.048
Nagaland,18,2018-19,9.841,59.93,0,69.771,80.907,-11.136
Odisha,19,2018-19,145.154,1367.618,0,1512.773,1066.788,445.985
Punjab,20,2018-19,189.706,0,0,189.706,38.305,151.402
Rajasthan,21,2018-19,408.444,865.88,0,1274.324,771.246,503.079
Sikkim,22,2018-19,8.297,1.964,0.616,10.877,8.797,2.08
Tamil Nadu,23,2018-19,260.27,760.99,24.103,1045.363,717.644,327.718
Telangana,24,2018-19,248.149,515.05,0.979,764.179,486.043,278.135
Tripura,25,2018-19,25.805,116.93,0.787,143.522,104.664,38.858
Uttar Pradesh,26,2018-19,621.649,7414.074,153.198,8188.921,6766.822,1422.1
Uttarakhand,27,2018-19,142.58,65.8,7.078,215.458,140.239,75.22
West Bengal,28,2018-19,387.337,534.247,54.989,976.573,584.144,392.429
A & N Islands,29,2018-19,17.376,4.7,0.546,22.622,15.301,7.321
Chandigarh,30,2018-19,NA,NA,NA,NA,NA,NA
Dadra & N. Haveli,31,2018-19,0.91,0,0,0.91,0,0.91
Daman & Diu,32,2018-19,0.365,0.19,0.012,0.566,0.352,0.215
Delhi,33,2018-19,NA,NA,NA,NA,NA,NA
Jammu & Kashmir,34,2018-19,-67.481,278.373,1.577,212.469,252.139,-39.67
Ladakh,35,2018-19,NA,NA,NA,NA,NA,NA
Lakshadweep,36,2018-19,NA,NA,NA,NA,NA,NA
Puducherry,37,2018-19,38.014,0,0.739,38.753,12.725,26.028
Andhra Pradesh,1,2019-20,990.763,0,29.684,1020.447,334.913,685.534
Arunachal Pradesh,2,2019-20,9.694,47.28,0,56.974,35.338,21.636
Assam,3,2019-20,508.229,358.05,20.127,886.406,557.812,328.594
Bihar,4,2019-20,1095.532,1552.25,23.242,2671.024,1521.022,1150.002
Chhattisgarh,5,2019-20,318.989,0,16.106,335.095,172.792,162.303
Goa,6,2019-20,-0.489,0,0,-0.489,0,-0.489
Gujarat,7,2019-20,303.104,0,19.154,322.259,238.308,83.951
Haryana,8,2019-20,98.685,0,0.369,99.054,39.692,59.362
Himachal Pradesh,9,2019-20,-15.176,0,0.297,-14.88,22.627,-37.507
Jharkhand,10,2019-20,348.561,367.72,0,716.281,387.758,328.522
Karnataka,11,2019-20,567.605,0,28.726,596.331,188.137,408.194
Kerala,12,2019-20,3.926,0,1.154,5.079,7.543,-2.464
Madhya Pradesh,13,2019-20,405.03,0,5.953,410.982,81.978,329.004
Maharashtra,14,2019-20,806.241,0,39.997,846.237,405.8,440.437
Manipur,15,2019-20,7.751,31.005,0.279,39.035,66.553,-27.517
Meghalaya,16,2019-20,62.336,18.265,1.16,81.761,60.55,21.211
Mizoram,17,2019-20,21.048,6.82,0.346,28.214,20.956,7.259
Nagaland,18,2019-20,-11.136,16.59,0,5.454,0.904,4.55
Odisha,19,2019-20,445.985,2002.65,7.527,2456.162,1292.284,1163.878
Punjab,20,2019-20,151.402,0,0,151.402,23.938,127.463
Rajasthan,21,2019-20,503.079,0,9.294,512.373,276.671,235.701
Sikkim,22,2019-20,2.08,0,0.095,2.176,2.839,-0.663
Tamil Nadu,23,2019-20,327.718,0,32.73,360.448,398.977,-38.529
Telangana,24,2019-20,278.135,0,2.66,280.795,309.28,-28.485
Tripura,25,2019-20,38.858,55.76,0.961,95.579,73.003,22.576
Uttar Pradesh,26,2019-20,1422.1,1513.995,337.334,3273.429,1953.249,1320.18
Uttarakhand,27,2019-20,75.22,0,4.457,79.676,70.397,9.279
West Bengal,28,2019-20,392.429,462.13,7.049,861.608,487.669,373.939
